item1,item2,correlation
real,love,0.4879500364742666
child,love,0.4879500364742666
country,love,0.6546536707079771
understand,love,0.4879500364742666
call,love,0.3779644730092272
smiling,love,0.3779644730092272
smiled,love,0.4879500364742666
pleasure,love,0.3779644730092272
church,love,0.4879500364742666
fine,love,0.4879500364742666
happened,love,0.3779644730092272
couldn’t,love,0.21821789023599236
suddenly,love,0.6546536707079771
taking,love,0.6546536707079771
feeling,love,0.3779644730092272
sin,love,0.3779644730092272
arm,love,0.4879500364742666
front,love,0.3779644730092272
family,love,0.3779644730092272
times,love,0.4879500364742666
appeared,love,0.4879500364742666
aunt,love,0.4879500364742666
josephine,love,0.21821789023599236
smile,love,0.4879500364742666
idea,love,0.3779644730092272
simply,love,0.4879500364742666
form,love,0.4879500364742666
girls,love,0.6546536707079771
flanders,love,0.21821789023599236
sort,love,0.4879500364742666
jacob,love,0.21821789023599236
days,light,0.9999999999999998
beautiful,light,0.4879500364742666
soul,light,0.9999999999999998
found,light,0.6546536707079771
hair,light,0.9999999999999998
sleep,light,0.6546536707079771
pale,light,0.4879500364742666
wind,light,0.9999999999999998
play,light,0.6546536707079771
soft,light,0.6546536707079771
fire,light,0.6546536707079771
desire,light,0.6546536707079771
run,light,0.6546536707079771
true,light,0.4879500364742666
beneath,light,0.6546536707079771
garden,light,0.9999999999999998
lips,light,0.4879500364742666
bed,light,0.9999999999999998
friends,light,0.9999999999999998
rest,light,0.6546536707079771
arms,light,0.9999999999999998
ah,light,0.6546536707079771
sound,light,0.6546536707079771
strange,light,0.9999999999999998
phrase,light,0.6546536707079771
beauty,light,0.6546536707079771
close,light,0.4879500364742666
cold,light,0.6546536707079771
coming,light,0.6546536707079771
warm,light,0.4879500364742666
mother,light,0.3779644730092272
boys,light,0.3779644730092272
sight,light,0.4879500364742666
body,light,0.4879500364742666
called,light,0.4879500364742666
answered,light,0.3779644730092272
cried,light,0.4879500364742666
home,light,0.4879500364742666
caught,light,0.4879500364742666
water,light,0.6546536707079771
tea,light,0.4879500364742666
top,light,0.3779644730092272
matter,light,0.4879500364742666
world,light,0.6546536707079771
don’t,light,0.2927700218845599
wall,light,0.6546536707079771
person,light,0.3779644730092272
memory,light,0.6546536707079771
child,light,0.4879500364742666
talk,light,0.6546536707079771
didn’t,light,0.2927700218845599
i’m,light,0.2927700218845599
understand,light,0.4879500364742666
spoke,light,0.4879500364742666
call,light,0.3779644730092272
it’s,light,0.2927700218845599
fell,light,0.6546536707079771
letter,light,0.4879500364742666
that’s,light,0.3779644730092272
late,light,0.6546536707079771
chair,light,0.6546536707079771
smiling,light,0.3779644730092272
can’t,light,0.2927700218845599
pleasure,light,0.3779644730092272
set,light,0.4879500364742666
silence,light,0.6546536707079771
happened,light,0.3779644730092272
couldn’t,light,0.21821789023599236
feeling,light,0.3779644730092272
sin,light,0.3779644730092272
front,light,0.3779644730092272
saint,light,0.3779644730092272
family,light,0.3779644730092272
times,light,0.4879500364742666
appeared,light,0.4879500364742666
aunt,light,0.4879500364742666
josephine,light,0.21821789023599236
smile,light,0.4879500364742666
idea,light,0.3779644730092272
form,light,0.4879500364742666
sense,light,0.4879500364742666
afternoon,light,0.6546536707079771
flanders,light,0.21821789023599236
de,light,0.3779644730092272
jacob,light,0.21821789023599236
i’ve,light,0.21821789023599236
light,days,0.9999999999999998
beautiful,days,0.4879500364742666
soul,days,0.9999999999999998
found,days,0.6546536707079771
hair,days,0.9999999999999998
sleep,days,0.6546536707079771
pale,days,0.4879500364742666
wind,days,0.9999999999999998
play,days,0.6546536707079771
soft,days,0.6546536707079771
fire,days,0.6546536707079771
desire,days,0.6546536707079771
run,days,0.6546536707079771
true,days,0.4879500364742666
beneath,days,0.6546536707079771
garden,days,0.9999999999999998
lips,days,0.4879500364742666
bed,days,0.9999999999999998
friends,days,0.9999999999999998
rest,days,0.6546536707079771
arms,days,0.9999999999999998
ah,days,0.6546536707079771
sound,days,0.6546536707079771
strange,days,0.9999999999999998
phrase,days,0.6546536707079771
beauty,days,0.6546536707079771
close,days,0.4879500364742666
cold,days,0.6546536707079771
coming,days,0.6546536707079771
warm,days,0.4879500364742666
mother,days,0.3779644730092272
boys,days,0.3779644730092272
sight,days,0.4879500364742666
body,days,0.4879500364742666
called,days,0.4879500364742666
answered,days,0.3779644730092272
cried,days,0.4879500364742666
home,days,0.4879500364742666
caught,days,0.4879500364742666
water,days,0.6546536707079771
tea,days,0.4879500364742666
top,days,0.3779644730092272
matter,days,0.4879500364742666
world,days,0.6546536707079771
don’t,days,0.2927700218845599
wall,days,0.6546536707079771
person,days,0.3779644730092272
memory,days,0.6546536707079771
child,days,0.4879500364742666
talk,days,0.6546536707079771
didn’t,days,0.2927700218845599
i’m,days,0.2927700218845599
understand,days,0.4879500364742666
spoke,days,0.4879500364742666
call,days,0.3779644730092272
it’s,days,0.2927700218845599
fell,days,0.6546536707079771
letter,days,0.4879500364742666
that’s,days,0.3779644730092272
late,days,0.6546536707079771
chair,days,0.6546536707079771
smiling,days,0.3779644730092272
can’t,days,0.2927700218845599
pleasure,days,0.3779644730092272
set,days,0.4879500364742666
silence,days,0.6546536707079771
happened,days,0.3779644730092272
couldn’t,days,0.21821789023599236
feeling,days,0.3779644730092272
sin,days,0.3779644730092272
front,days,0.3779644730092272
saint,days,0.3779644730092272
family,days,0.3779644730092272
times,days,0.4879500364742666
appeared,days,0.4879500364742666
aunt,days,0.4879500364742666
josephine,days,0.21821789023599236
smile,days,0.4879500364742666
idea,days,0.3779644730092272
form,days,0.4879500364742666
sense,days,0.4879500364742666
afternoon,days,0.6546536707079771
flanders,days,0.21821789023599236
de,days,0.3779644730092272
jacob,days,0.21821789023599236
i’ve,days,0.21821789023599236
blue,heart,0.6546536707079771
beautiful,heart,0.4879500364742666
death,heart,0.9999999999999998
found,heart,0.6546536707079771
fellow,heart,0.6546536707079771
dear,heart,0.9999999999999998
day,heart,0.9999999999999998
pale,heart,0.4879500364742666
play,heart,0.6546536707079771
book,heart,0.9999999999999998
read,heart,0.9999999999999998
fire,heart,0.6546536707079771
desire,heart,0.6546536707079771
run,heart,0.6546536707079771
true,heart,0.4879500364742666
lips,heart,0.4879500364742666
word,heart,0.9999999999999998
words,heart,0.9999999999999998
round,heart,0.9999999999999998
rest,heart,0.6546536707079771
sun,heart,0.9999999999999998
sound,heart,0.6546536707079771
beauty,heart,0.6546536707079771
standing,heart,0.6546536707079771
speak,heart,0.9999999999999998
close,heart,0.4879500364742666
cold,heart,0.6546536707079771
road,heart,0.6546536707079771
boy,heart,0.4879500364742666
father,heart,0.4879500364742666
told,heart,0.6546536707079771
warm,heart,0.4879500364742666
mother,heart,0.3779644730092272
boys,heart,0.3779644730092272
sight,heart,0.4879500364742666
called,heart,0.4879500364742666
answered,heart,0.3779644730092272
nice,heart,0.6546536707079771
hall,heart,0.4879500364742666
cried,heart,0.4879500364742666
home,heart,0.4879500364742666
ran,heart,0.4879500364742666
waiting,heart,0.6546536707079771
dinner,heart,0.6546536707079771
walked,heart,0.6546536707079771
top,heart,0.3779644730092272
thinking,heart,0.6546536707079771
passed,heart,0.6546536707079771
don’t,heart,0.2927700218845599
god,heart,0.6546536707079771
person,heart,0.3779644730092272
real,heart,0.4879500364742666
stood,heart,0.6546536707079771
didn’t,heart,0.2927700218845599
i’m,heart,0.2927700218845599
spoke,heart,0.4879500364742666
call,heart,0.3779644730092272
it’s,heart,0.2927700218845599
letter,heart,0.4879500364742666
smiling,heart,0.3779644730092272
smiled,heart,0.4879500364742666
can’t,heart,0.2927700218845599
pleasure,heart,0.3779644730092272
set,heart,0.4879500364742666
church,heart,0.4879500364742666
fine,heart,0.4879500364742666
happened,heart,0.3779644730092272
children,heart,0.6546536707079771
couldn’t,heart,0.21821789023599236
girl,heart,0.6546536707079771
feeling,heart,0.3779644730092272
sin,heart,0.3779644730092272
arm,heart,0.4879500364742666
front,heart,0.3779644730092272
saint,heart,0.3779644730092272
family,heart,0.3779644730092272
carriage,heart,0.6546536707079771
josephine,heart,0.21821789023599236
idea,heart,0.3779644730092272
simply,heart,0.4879500364742666
sense,heart,0.4879500364742666
flanders,heart,0.21821789023599236
de,heart,0.3779644730092272
jacob,heart,0.21821789023599236
i’ve,heart,0.21821789023599236
blue,beautiful,0.74535599249993
love,beautiful,0.4879500364742666
light,beautiful,0.4879500364742666
days,beautiful,0.4879500364742666
heart,beautiful,0.4879500364742666
soul,beautiful,0.4879500364742666
death,beautiful,0.4879500364742666
dark,beautiful,0.4879500364742666
lay,beautiful,0.4879500364742666
found,beautiful,0.74535599249993
fellow,beautiful,0.74535599249993
hair,beautiful,0.4879500364742666
dear,beautiful,0.4879500364742666
day,beautiful,0.4879500364742666
sleep,beautiful,0.74535599249993
pale,beautiful,1
flowers,beautiful,0.4879500364742666
yellow,beautiful,0.4879500364742666
wind,beautiful,0.4879500364742666
play,beautiful,0.74535599249993
soft,beautiful,0.74535599249993
book,beautiful,0.4879500364742666
read,beautiful,0.4879500364742666
fire,beautiful,0.74535599249993
desire,beautiful,0.74535599249993
run,beautiful,0.74535599249993
slowly,beautiful,0.4879500364742666
true,beautiful,1
beneath,beautiful,0.74535599249993
garden,beautiful,0.4879500364742666
lips,beautiful,1
bed,beautiful,0.4879500364742666
grey,beautiful,0.4879500364742666
word,beautiful,0.4879500364742666
friends,beautiful,0.4879500364742666
words,beautiful,0.4879500364742666
round,beautiful,0.4879500364742666
rest,beautiful,0.74535599249993
arms,beautiful,0.4879500364742666
ah,beautiful,0.74535599249993
sun,beautiful,0.4879500364742666
sound,beautiful,0.74535599249993
strange,beautiful,0.4879500364742666
phrase,beautiful,0.74535599249993
beauty,beautiful,0.74535599249993
standing,beautiful,0.74535599249993
speak,beautiful,0.4879500364742666
close,beautiful,1
cold,beautiful,0.74535599249993
boy,beautiful,0.4666666666666667
father,beautiful,0.4666666666666667
warm,beautiful,0.4666666666666667
mother,beautiful,0.7745966692414833
stephen,beautiful,0.2927700218845599
boys,beautiful,0.7745966692414833
sight,beautiful,0.4666666666666667
body,beautiful,0.4666666666666667
called,beautiful,0.4666666666666667
answered,beautiful,0.7745966692414833
dedalus,beautiful,0.2927700218845599
hall,beautiful,0.4666666666666667
cried,beautiful,0.4666666666666667
home,beautiful,0.4666666666666667
caught,beautiful,0.4666666666666667
ran,beautiful,0.4666666666666667
tea,beautiful,0.4666666666666667
top,beautiful,0.7745966692414833
matter,beautiful,0.4666666666666667
person,beautiful,0.7745966692414833
real,beautiful,0.4666666666666667
child,beautiful,0.4666666666666667
understand,beautiful,0.4666666666666667
spoke,beautiful,0.4666666666666667
call,beautiful,0.7745966692414833
letter,beautiful,0.4666666666666667
smiling,beautiful,0.7745966692414833
smiled,beautiful,0.4666666666666667
pleasure,beautiful,0.7745966692414833
set,beautiful,0.4666666666666667
church,beautiful,0.4666666666666667
fine,beautiful,0.4666666666666667
happened,beautiful,0.7745966692414833
couldn’t,beautiful,0.44721359549995793
feeling,beautiful,0.7745966692414833
sin,beautiful,0.7745966692414833
arm,beautiful,0.4666666666666667
front,beautiful,0.7745966692414833
saint,beautiful,0.2581988897471611
family,beautiful,0.7745966692414833
times,beautiful,0.4666666666666667
appeared,beautiful,0.4666666666666667
aunt,beautiful,0.4666666666666667
josephine,beautiful,0.44721359549995793
smile,beautiful,0.4666666666666667
idea,beautiful,0.7745966692414833
simply,beautiful,0.4666666666666667
form,beautiful,0.4666666666666667
sense,beautiful,0.4666666666666667
cranly,beautiful,0.2927700218845599
flanders,beautiful,0.44721359549995793
de,beautiful,0.2581988897471611
combray,beautiful,0.2927700218845599
mme,beautiful,0.2927700218845599
françoise,beautiful,0.2927700218845599
swann,beautiful,0.2927700218845599
verdurin,beautiful,0.2927700218845599
odette,beautiful,0.2927700218845599
jacob,beautiful,0.44721359549995793
kezia,beautiful,0.2927700218845599
light,soul,0.9999999999999998
days,soul,0.9999999999999998
beautiful,soul,0.4879500364742666
found,soul,0.6546536707079771
hair,soul,0.9999999999999998
sleep,soul,0.6546536707079771
pale,soul,0.4879500364742666
wind,soul,0.9999999999999998
play,soul,0.6546536707079771
soft,soul,0.6546536707079771
fire,soul,0.6546536707079771
desire,soul,0.6546536707079771
run,soul,0.6546536707079771
true,soul,0.4879500364742666
beneath,soul,0.6546536707079771
garden,soul,0.9999999999999998
lips,soul,0.4879500364742666
bed,soul,0.9999999999999998
friends,soul,0.9999999999999998
rest,soul,0.6546536707079771
arms,soul,0.9999999999999998
ah,soul,0.6546536707079771
sound,soul,0.6546536707079771
strange,soul,0.9999999999999998
phrase,soul,0.6546536707079771
beauty,soul,0.6546536707079771
close,soul,0.4879500364742666
cold,soul,0.6546536707079771
coming,soul,0.6546536707079771
warm,soul,0.4879500364742666
mother,soul,0.3779644730092272
boys,soul,0.3779644730092272
sight,soul,0.4879500364742666
body,soul,0.4879500364742666
called,soul,0.4879500364742666
answered,soul,0.3779644730092272
cried,soul,0.4879500364742666
home,soul,0.4879500364742666
caught,soul,0.4879500364742666
water,soul,0.6546536707079771
tea,soul,0.4879500364742666
top,soul,0.3779644730092272
matter,soul,0.4879500364742666
world,soul,0.6546536707079771
don’t,soul,0.2927700218845599
wall,soul,0.6546536707079771
person,soul,0.3779644730092272
memory,soul,0.6546536707079771
child,soul,0.4879500364742666
talk,soul,0.6546536707079771
didn’t,soul,0.2927700218845599
i’m,soul,0.2927700218845599
understand,soul,0.4879500364742666
spoke,soul,0.4879500364742666
call,soul,0.3779644730092272
it’s,soul,0.2927700218845599
fell,soul,0.6546536707079771
letter,soul,0.4879500364742666
that’s,soul,0.3779644730092272
late,soul,0.6546536707079771
chair,soul,0.6546536707079771
smiling,soul,0.3779644730092272
can’t,soul,0.2927700218845599
pleasure,soul,0.3779644730092272
set,soul,0.4879500364742666
silence,soul,0.6546536707079771
happened,soul,0.3779644730092272
couldn’t,soul,0.21821789023599236
feeling,soul,0.3779644730092272
sin,soul,0.3779644730092272
front,soul,0.3779644730092272
saint,soul,0.3779644730092272
family,soul,0.3779644730092272
times,soul,0.4879500364742666
appeared,soul,0.4879500364742666
aunt,soul,0.4879500364742666
josephine,soul,0.21821789023599236
smile,soul,0.4879500364742666
idea,soul,0.3779644730092272
form,soul,0.4879500364742666
sense,soul,0.4879500364742666
afternoon,soul,0.6546536707079771
flanders,soul,0.21821789023599236
de,soul,0.3779644730092272
jacob,soul,0.21821789023599236
i’ve,soul,0.21821789023599236
blue,death,0.6546536707079771
heart,death,0.9999999999999998
beautiful,death,0.4879500364742666
found,death,0.6546536707079771
fellow,death,0.6546536707079771
dear,death,0.9999999999999998
day,death,0.9999999999999998
pale,death,0.4879500364742666
play,death,0.6546536707079771
book,death,0.9999999999999998
read,death,0.9999999999999998
fire,death,0.6546536707079771
desire,death,0.6546536707079771
run,death,0.6546536707079771
true,death,0.4879500364742666
lips,death,0.4879500364742666
word,death,0.9999999999999998
words,death,0.9999999999999998
round,death,0.9999999999999998
rest,death,0.6546536707079771
sun,death,0.9999999999999998
sound,death,0.6546536707079771
beauty,death,0.6546536707079771
standing,death,0.6546536707079771
speak,death,0.9999999999999998
close,death,0.4879500364742666
cold,death,0.6546536707079771
road,death,0.6546536707079771
boy,death,0.4879500364742666
father,death,0.4879500364742666
told,death,0.6546536707079771
warm,death,0.4879500364742666
mother,death,0.3779644730092272
boys,death,0.3779644730092272
sight,death,0.4879500364742666
called,death,0.4879500364742666
answered,death,0.3779644730092272
nice,death,0.6546536707079771
hall,death,0.4879500364742666
cried,death,0.4879500364742666
home,death,0.4879500364742666
ran,death,0.4879500364742666
waiting,death,0.6546536707079771
dinner,death,0.6546536707079771
walked,death,0.6546536707079771
top,death,0.3779644730092272
thinking,death,0.6546536707079771
passed,death,0.6546536707079771
don’t,death,0.2927700218845599
god,death,0.6546536707079771
person,death,0.3779644730092272
real,death,0.4879500364742666
stood,death,0.6546536707079771
didn’t,death,0.2927700218845599
i’m,death,0.2927700218845599
spoke,death,0.4879500364742666
call,death,0.3779644730092272
it’s,death,0.2927700218845599
letter,death,0.4879500364742666
smiling,death,0.3779644730092272
smiled,death,0.4879500364742666
can’t,death,0.2927700218845599
pleasure,death,0.3779644730092272
set,death,0.4879500364742666
church,death,0.4879500364742666
fine,death,0.4879500364742666
happened,death,0.3779644730092272
children,death,0.6546536707079771
couldn’t,death,0.21821789023599236
girl,death,0.6546536707079771
feeling,death,0.3779644730092272
sin,death,0.3779644730092272
arm,death,0.4879500364742666
front,death,0.3779644730092272
saint,death,0.3779644730092272
family,death,0.3779644730092272
carriage,death,0.6546536707079771
josephine,death,0.21821789023599236
idea,death,0.3779644730092272
simply,death,0.4879500364742666
sense,death,0.4879500364742666
flanders,death,0.21821789023599236
de,death,0.3779644730092272
jacob,death,0.21821789023599236
i’ve,death,0.21821789023599236
blue,dark,0.6546536707079771
love,dark,0.9999999999999998
beautiful,dark,0.4879500364742666
lay,dark,0.9999999999999998
fellow,dark,0.6546536707079771
sleep,dark,0.6546536707079771
pale,dark,0.4879500364742666
flowers,dark,0.9999999999999998
yellow,dark,0.9999999999999998
soft,dark,0.6546536707079771
slowly,dark,0.9999999999999998
true,dark,0.4879500364742666
beneath,dark,0.6546536707079771
lips,dark,0.4879500364742666
grey,dark,0.9999999999999998
ah,dark,0.6546536707079771
phrase,dark,0.6546536707079771
standing,dark,0.6546536707079771
close,dark,0.4879500364742666
boy,dark,0.4879500364742666
father,dark,0.4879500364742666
looked,dark,0.6546536707079771
mother,dark,0.3779644730092272
brought,dark,0.6546536707079771
paper,dark,0.6546536707079771
boys,dark,0.3779644730092272
body,dark,0.4879500364742666
answered,dark,0.3779644730092272
hall,dark,0.4879500364742666
caught,dark,0.4879500364742666
ran,dark,0.4879500364742666
sky,dark,0.6546536707079771
sitting,dark,0.6546536707079771
tea,dark,0.4879500364742666
talking,dark,0.6546536707079771
top,dark,0.3779644730092272
matter,dark,0.4879500364742666
pink,dark,0.6546536707079771
corner,dark,0.6546536707079771
person,dark,0.3779644730092272
real,dark,0.4879500364742666
child,dark,0.4879500364742666
country,dark,0.6546536707079771
understand,dark,0.4879500364742666
call,dark,0.3779644730092272
smiling,dark,0.3779644730092272
smiled,dark,0.4879500364742666
pleasure,dark,0.3779644730092272
church,dark,0.4879500364742666
fine,dark,0.4879500364742666
happened,dark,0.3779644730092272
couldn’t,dark,0.21821789023599236
suddenly,dark,0.6546536707079771
taking,dark,0.6546536707079771
feeling,dark,0.3779644730092272
sin,dark,0.3779644730092272
arm,dark,0.4879500364742666
front,dark,0.3779644730092272
family,dark,0.3779644730092272
times,dark,0.4879500364742666
appeared,dark,0.4879500364742666
aunt,dark,0.4879500364742666
josephine,dark,0.21821789023599236
smile,dark,0.4879500364742666
idea,dark,0.3779644730092272
simply,dark,0.4879500364742666
form,dark,0.4879500364742666
girls,dark,0.6546536707079771
flanders,dark,0.21821789023599236
sort,dark,0.4879500364742666
jacob,dark,0.21821789023599236
blue,lay,0.6546536707079771
love,lay,0.9999999999999998
beautiful,lay,0.4879500364742666
dark,lay,0.9999999999999998
fellow,lay,0.6546536707079771
sleep,lay,0.6546536707079771
pale,lay,0.4879500364742666
flowers,lay,0.9999999999999998
yellow,lay,0.9999999999999998
soft,lay,0.6546536707079771
slowly,lay,0.9999999999999998
true,lay,0.4879500364742666
beneath,lay,0.6546536707079771
lips,lay,0.4879500364742666
grey,lay,0.9999999999999998
ah,lay,0.6546536707079771
phrase,lay,0.6546536707079771
standing,lay,0.6546536707079771
close,lay,0.4879500364742666
boy,lay,0.4879500364742666
father,lay,0.4879500364742666
looked,lay,0.6546536707079771
mother,lay,0.3779644730092272
brought,lay,0.6546536707079771
paper,lay,0.6546536707079771
boys,lay,0.3779644730092272
body,lay,0.4879500364742666
answered,lay,0.3779644730092272
hall,lay,0.4879500364742666
caught,lay,0.4879500364742666
ran,lay,0.4879500364742666
sky,lay,0.6546536707079771
sitting,lay,0.6546536707079771
tea,lay,0.4879500364742666
talking,lay,0.6546536707079771
top,lay,0.3779644730092272
matter,lay,0.4879500364742666
pink,lay,0.6546536707079771
corner,lay,0.6546536707079771
person,lay,0.3779644730092272
real,lay,0.4879500364742666
child,lay,0.4879500364742666
country,lay,0.6546536707079771
understand,lay,0.4879500364742666
call,lay,0.3779644730092272
smiling,lay,0.3779644730092272
smiled,lay,0.4879500364742666
pleasure,lay,0.3779644730092272
church,lay,0.4879500364742666
fine,lay,0.4879500364742666
happened,lay,0.3779644730092272
couldn’t,lay,0.21821789023599236
suddenly,lay,0.6546536707079771
taking,lay,0.6546536707079771
feeling,lay,0.3779644730092272
sin,lay,0.3779644730092272
arm,lay,0.4879500364742666
front,lay,0.3779644730092272
family,lay,0.3779644730092272
times,lay,0.4879500364742666
appeared,lay,0.4879500364742666
aunt,lay,0.4879500364742666
josephine,lay,0.21821789023599236
smile,lay,0.4879500364742666
idea,lay,0.3779644730092272
simply,lay,0.4879500364742666
form,lay,0.4879500364742666
girls,lay,0.6546536707079771
flanders,lay,0.21821789023599236
sort,lay,0.4879500364742666
jacob,lay,0.21821789023599236
blue,found,0.3333333333333333
light,found,0.6546536707079771
days,found,0.6546536707079771
heart,found,0.6546536707079771
beautiful,found,0.74535599249993
soul,found,0.6546536707079771
death,found,0.6546536707079771
fellow,found,0.3333333333333333
hair,found,0.6546536707079771
dear,found,0.6546536707079771
day,found,0.6546536707079771
sleep,found,0.3333333333333333
pale,found,0.74535599249993
wind,found,0.6546536707079771
play,found,1
soft,found,0.3333333333333333
book,found,0.6546536707079771
read,found,0.6546536707079771
fire,found,1
desire,found,1
run,found,1
true,found,0.74535599249993
beneath,found,0.3333333333333333
garden,found,0.6546536707079771
lips,found,0.74535599249993
bed,found,0.6546536707079771
word,found,0.6546536707079771
friends,found,0.6546536707079771
words,found,0.6546536707079771
round,found,0.6546536707079771
rest,found,1
arms,found,0.6546536707079771
ah,found,0.3333333333333333
sun,found,0.6546536707079771
sound,found,1
strange,found,0.6546536707079771
phrase,found,0.3333333333333333
beauty,found,1
standing,found,0.3333333333333333
speak,found,0.6546536707079771
close,found,0.74535599249993
cold,found,1
coming,found,0.3333333333333333
road,found,0.3333333333333333
told,found,0.3333333333333333
warm,found,0.74535599249993
mother,found,0.5773502691896257
stephen,found,0.21821789023599236
boys,found,0.5773502691896257
sight,found,0.74535599249993
called,found,0.74535599249993
answered,found,0.5773502691896257
dedalus,found,0.21821789023599236
nice,found,0.3333333333333333
cried,found,0.74535599249993
home,found,0.74535599249993
water,found,0.3333333333333333
waiting,found,0.3333333333333333
dinner,found,0.3333333333333333
walked,found,0.3333333333333333
top,found,0.5773502691896257
thinking,found,0.3333333333333333
passed,found,0.3333333333333333
world,found,0.3333333333333333
don’t,found,0.44721359549995793
wall,found,0.3333333333333333
god,found,0.3333333333333333
person,found,0.5773502691896257
memory,found,0.3333333333333333
stood,found,0.3333333333333333
talk,found,0.3333333333333333
didn’t,found,0.44721359549995793
i’m,found,0.44721359549995793
spoke,found,0.74535599249993
call,found,0.5773502691896257
it’s,found,0.44721359549995793
fell,found,0.3333333333333333
letter,found,0.74535599249993
late,found,0.3333333333333333
chair,found,0.3333333333333333
smiling,found,0.5773502691896257
can’t,found,0.44721359549995793
pleasure,found,0.5773502691896257
set,found,0.74535599249993
silence,found,0.3333333333333333
happened,found,0.5773502691896257
children,found,0.3333333333333333
couldn’t,found,0.3333333333333333
girl,found,0.3333333333333333
feeling,found,0.5773502691896257
sin,found,0.5773502691896257
front,found,0.5773502691896257
saint,found,0.5773502691896257
family,found,0.5773502691896257
carriage,found,0.3333333333333333
josephine,found,0.3333333333333333
idea,found,0.5773502691896257
sense,found,0.74535599249993
afternoon,found,0.3333333333333333
